Date	Wtag	Info	Daytext	Textcontent	Dayfont	Daycontent	Dt
22.05.2020	Sexta		Sal. 78:53.	Ele os guiou em segurança, e eles não sentiram medo.	w18.09 26 §§ 11-12.	Quando os israelitas saíram do Egito em 1513 antes de Cristo, é possível que eles fossem mais de 3 milhões. Naquele enorme grupo havia crianças, idosos e sem dúvida alguns doentes ou deficientes. Para guiar uma multidão tão grande, seria necessário um Líder compreensivo e amoroso. E Jeová, por meio de Moisés, foi exatamente isso. Assim, os israelitas puderam se sentir seguros enquanto deixavam para trás o único lar que conheciam. (Sal. 78:52, 53) O que Jeová fez para que seu povo se sentisse protegido? Em primeiro lugar, Deus fez o povo sair do Egito "em formação de batalha". (Êxo. 13:18) Esse modo organizado ajudou os israelitas a ver que Jeová estava no controle. Além disso, Jeová usou "de dia uma nuvem" e de noite "a luz de um fogo" para guiar o povo. (Sal. 78:14) Esses sinais eram um modo de Jeová dizer aos israelitas: "Não tenham medo. Eu vou guiar e proteger vocês."	.
23.05.2020	Sabado		Jó 14:13.	Quem dera que me escondesses na Sepultura, . . . que estabelecesses um tempo e então te lembrasses de mim.	w18.09 13 § 4.	Nos tempos bíblicos, alguns servos de Deus se sentiram tão aflitos que acharam que seria melhor morrer. Por exemplo, Jó estava tão desesperado que disse: "Detesto a minha vida, não quero mais viver." (Jó 7:16) O profeta Jonas também se sentiu tão decepcionado que disse: "Agora, ó Jeová, por favor, tira a minha vida, pois para mim é melhor morrer do que viver." (Jonas 4:3) E o profeta Elias se sentiu tão desanimado que pediu que Jeová o deixasse morrer. Ele disse: "Já chega! Agora, ó Jeová, tira a minha vida." (1 Reis 19:4) Mas Jeová considerava cada um desses servos como valioso e queria que eles vivessem. Em vez de criticá-los pelo que estavam sentindo, Jeová os ajudou a superar o desejo de morrer. Ele os edificou com amor para que eles continuassem servindo fielmente a ele.	.
24.05.2020	Domingo		1 Cor. 3:9.	Somos colaboradores de Deus.	w18.08 24 §§ 6-7; 25 § 10.	Uma qualidade comum nos colaboradores de Deus é a hospitalidade. Nas Escrituras Gregas, a palavra traduzida como "hospitalidade" significa "bondade com estranhos". (Heb. 13:2, nota) A Bíblia traz muitos exemplos que nos ensinam como mostrar hospitalidade. (Gên. 18:1-5) Nós podemos e devemos aproveitar toda oportunidade de ajudar outros, mesmo que não sejam "parte da nossa família na fé". (Gál. 6:10) Será que você pode colaborar com Jeová sendo hospitaleiro com os que servem no tempo integral? (3 João 5, 8) Essas ocasiões podem encorajar tanto você quanto a eles. (Rom. 1:11, 12) Os homens na congregação podem colaborar com Jeová por se esforçarem para ser servos ministeriais e anciãos. (1 Tim. 3:1, 8, 9; 1 Ped. 5:2, 3) Os que querem ter mais responsabilidades precisam estar dispostos a ajudar quem precisa, tanto de modo prático como espiritual. (Atos 6:1-4) Irmãos que ajudam a cuidar das necessidades da congregação dizem que ajudar outros dá muita alegria.	.
25.05.2020	Segunda		1 Tim. 5:1.	Não repreenda severamente um homem idoso. Ao contrário, aconselhe-o bondosamente como a um pai.	Gál. 6:1. w18.08 11 §§ 13-14.	Embora Timóteo tivesse alguma autoridade sobre esses irmãos mais velhos, ele devia tratá-los com compaixão e respeito. Mas imagine que um irmão idoso está praticando um pecado ou está incentivando outros a fazer algo que Jeová não gosta. Será que por ele ser mais velho nada deve ser feito? Note o que Jeová diz em Isaías 65:20: "O pecador será amaldiçoado, mesmo que tenha cem anos." E essa ideia também está em Ezequiel 9:5-7. Jeová não vai deixar passar o pecado de uma pessoa só porque ela é idosa. Temos que lembrar que nossa maior preocupação deve ser respeitar o Antigo de Dias, Jeová Deus. (Dan. 7:9, 10, 13, 14) Se isso estiver claro em nossa mente, não teremos medo de corrigir uma pessoa que precise de conselho, não importa quantos anos ela tenha.	.
26.05.2020	Terça		Pro. 14:15.	A pessoa ingênua acredita em qualquer palavra, mas quem é prudente pensa bem antes de cada passo.	w18.08 3 §§ 1, 3.	Todo cristão precisa aprender a avaliar uma informação e chegar à conclusão certa. (Pro. 3:21-23; 8:4, 5) Por quê? Porque Satanás faz de tudo para nos enganar. Quem não aprende a avaliar informações pode se tornar uma vítima fácil dele e de seu mundo. (Efé. 5:6; Col. 2:8) O único modo de chegarmos às conclusões certas é buscando todos os fatos. As pessoas hoje são bombardeadas com informações. A internet, a televisão e outros meios de comunicação parecem uma fonte de assuntos que nunca tem fim. Sem contar a enxurrada de e-mails, mensagens de celular e notícias que recebemos de amigos e parentes. Por causa disso, espalhar informações falsas e distorcer fatos se tornou algo comum. Então, precisamos ter muito cuidado. Devemos avaliar com atenção cada informação que chega até nós.	.
27.05.2020	Quarta		Luc. 1:30.	Você achou favor diante de Deus.	w18.07 9-10 §§ 11-12.	Quando chegou a hora de Jesus vir à Terra, Jeová escolheu Maria, uma jovem humilde e virgem, para ser a mãe dele. Maria vivia na cidade de Nazaré, uma cidadezinha simples que ficava longe da famosa Jerusalém com seu belo templo. (Luc. 1:26-33) Maria era uma pessoa que gostava muito de coisas espirituais. Isso ficou claro quando ela mais tarde falou com Elisabete, sua parente. (Luc. 1:46-55) Jeová estava observando Maria. Ele viu que ela era uma mulher fiel e por isso lhe deu um privilégio que ela nunca tinha imaginado. Quando Jesus finalmente nasceu, quem Jeová deixou saber primeiro disso? Não foi nenhum dos oficiais ou dos governantes de Jerusalém ou de Belém. Jeová enviou anjos para avisar pastores humildes que cuidavam de ovelhas nos campos fora de Belém. (Luc. 2:8-14) Ao saberem do nascimento, os pastores foram visitar o bebê. (Luc. 2:15-17) José e Maria devem ter ficado felizes de ver Jesus receber honra desse modo inesperado.	.
28.05.2020	Quinta		1 Reis 11:9.	Jeová ficou furioso com Salomão.	w18.07 19 §§ 9-10.	Por que Jeová ficou furioso com Salomão? A Bíblia explica: 'Porque seu coração tinha se desviado de Jeová, que tinha aparecido duas vezes a ele e o havia alertado exatamente sobre isso, que ele não devia seguir outros deuses. Mas Salomão não obedeceu à ordem de Jeová.' Por isso, Salomão perdeu o apoio e o favor de Jeová. Os reis que vieram depois de Salomão só governaram uma parte do território, e por muitos anos tiveram que enfrentar um problema atrás do outro. (1 Reis 11:9-13) Assim como no caso de Salomão, uma das maiores ameaças para nossa espiritualidade é ter amizade com quem não entende ou não respeita as leis de Jeová. Alguns deles podem até ser membros da congregação que não têm uma boa espiritualidade. Ou podem ser parentes, vizinhos, colegas de trabalho e de escola que não adoram a Jeová. Se tivermos uma amizade achegada com pessoas que não respeitam as leis de Jeová, elas podem com o tempo destruir nossa amizade com ele.	.
29.05.2020	Sexta		1 João 5:19	O mundo inteiro está no poder do Maligno.	w19.01 15-16 §§ 6-7.	Outro jeito de Satanás espalhar seu modo de pensar é pelos filmes e programas de TV. Ele sabe que contar histórias não serve apenas como uma diversão. Serve também para ensinar como pensar, sentir e agir. Jesus usou bastante esse método de ensino. Por exemplo, lembre-se das histórias do bom samaritano e do filho pródigo. (Mat. 13:34; Luc. 10:29-37; 15:11-32) Por outro lado, pessoas que Satanás já contaminou podem usar o método de contar histórias para nos corromper. É claro que precisamos ter equilíbrio. Existem filmes e programas de TV que podem nos divertir e ensinar sem nos contaminar. Mas temos que ter cuidado. Quando for escolher um filme ou programa, pense: 'Será que esse filme ou programa está me ensinando que "as obras da carne" são algo normal?' (Gál. 5:19-21; Efé. 2:1-3) Se perceber que um programa está contaminado com o modo de pensar de Satanás, faça o que você faria com alguém que tem uma doença contagiosa - nem chegue perto!	.
30.05.2020	Sabado		Efé. 6:17.	Aceitem . . . o capacete da salvação.	Mat. 6:31-33. w18.05 30-31 §§ 15-17.	Assim como o capacete protegia o cérebro do soldado, nossa "esperança da salvação" protege nossos pensamentos. (1 Tes. 5:8; Pro. 3:21) Satanás tenta nos fazer tirar o capacete. Mas como? Lembre de como ele tentou Jesus. Satanás sabia que Jesus tinha a esperança de governar a Terra um dia. Mas primeiro Jesus teria que sofrer e morrer. Depois, ele teria que esperar Jeová o tornar Rei. Então, Satanás ofereceu a Jesus a chance de conseguir isso bem antes. Satanás disse que, se Jesus fizesse só um ato de adoração, Jesus poderia começar a governar o mundo naquele momento. (Luc. 4:5-7) Da mesma forma, Satanás sabe que Jeová promete nos dar coisas materiais no novo mundo. Mas nós temos que esperar isso acontecer, e talvez nesse meio-tempo passemos por problemas. Então, Satanás nos oferece a chance de ter uma vida confortável já agora. Ele quer que coloquemos as coisas materiais em primeiro lugar e deixemos o Reino em segundo.	.
31.05.2020	Domingo		Ecl. 11:9.	Que o seu coração seja feliz nos dias da sua juventude.	w18.04 29 §§ 17, 19.	Jeová quer que você aproveite sua juventude e seja feliz. Quanto mais cedo você começar a fazer isso, mais cedo vai sentir a orientação, a proteção e as bênçãos dele. Pense em todos os bons conselhos que Jeová dá por meio da Bíblia, e guarde no seu coração estas palavras: "Lembre-se, então, do seu Grandioso Criador nos dias da sua juventude." (Ecl. 12:1) Jovens, vocês merecem elogios por não desistirem de servir a Jeová. Vocês têm alvos espirituais, dão importância para a pregação, não deixam o mundo enganar vocês e colocam Jeová em primeiro lugar na vida. Podem ter certeza que todo o esforço de vocês não é em vão. Lembrem também que vocês podem contar com a ajuda de irmãos e irmãs amorosos. E o mais importante: se 'confiarem em Jeová, seus planos serão bem-sucedidos'.	.
01.06.2020	Segunda		João 15:16.	Não importa o que pedirem ao Pai em meu nome, ele dará a vocês.	Tia. 1:17. w18.05 21 §§ 17-18.	Imagine como os apóstolos se sentiram encorajados com essa promessa! É verdade que, naquele momento, eles ainda não entendiam bem que Jesus estava para morrer. Mas os discípulos não ficariam sem ajuda para pregar. Jeová estava pronto para responder as orações deles e para dar toda a ajuda que precisassem. E ele fez isso mesmo. Logo depois que Jesus morreu, os apóstolos oraram pedindo coragem para pregar, e Jeová respondeu. (Atos 4:29, 31) O mesmo acontece hoje. Quando perseveramos na pregação, continuamos sendo amigos de Jesus. E, se encontramos qualquer barreira em nosso trabalho de pregação, podemos orar a Jeová, porque sabemos que ele vai responder. (Fil. 4:13) Somos muito gratos por estas duas ótimas ajudas: saber que Jeová responde nossas orações e ter amizade com Jesus. São coisas que nos dão mais força para continuarmos 'dando fruto'.	.
02.06.2020	Terça		Heb. 10:24, 25.	E pensemos uns nos outros, e ainda mais ao passo que vocês veem chegar o dia.	w18.04 20 §§ 1-2.	Os irmãos devem ter se perguntado por que Paulo disse para eles encorajarem "ainda mais" uns aos outros. Menos de cinco anos depois, eles entenderam. O sinal que Jesus tinha dado sobre o "dia de Jeová" estava acontecendo, e os cristãos precisavam fugir de Jerusalém. (Atos 2:19, 20; Luc. 21:20-22) No ano 70, o "dia de Jeová" chegou quando os romanos destruíram Jerusalém. Hoje estamos numa situação parecida. O "grande e muito atemorizante" dia de Jeová está chegando. (Joel 2:11) A profecia de Sofonias também se aplica à nossa época: "O grande dia de Jeová está próximo! Está próximo e se aproxima com grande rapidez!" (Sof. 1:14) Por causa disso, é importante 'nos preocuparmos uns com os outros para nos estimular ao amor e às boas obras'. (Heb. 10:24, nota) Temos que nos interessar ainda mais pelo bem-estar de nossos irmãos. Assim, vai ser mais fácil encorajá-los quando for necessário.	.
03.06.2020	Quarta		Jos. 1:9.	Seja corajoso e forte. Não fique apavorado nem tenha medo, pois Jeová, seu Deus, estará com você aonde quer que você for.	w18.04 16 §§ 3-5.	Que encorajamento Jeová deu a Josué antes de ele levar o povo de Deus para a Terra Prometida! Além de encorajar pessoas, Jeová também encorajava seu povo como grupo. Por exemplo, Jeová disse algo que foi muito consolador para os judeus que seriam levados presos para Babilônia. Jeová falou: "Não tenha medo, pois estou com você. Não fique ansioso, pois eu sou o seu Deus. Vou fortalecê-lo, sim, vou ajudá-lo. Vou segurá-lo firmemente com a minha mão direita de justiça." (Isa. 41:10) Séculos depois, essa promessa encorajou os primeiros cristãos e ainda encoraja o povo de Deus hoje. (2 Cor. 1:3, 4) O próprio Jesus recebeu encorajamento de seu Pai. Quando Jesus se batizou, uma voz lá do céu disse para ele: "Este é meu Filho, o amado, a quem eu aprovo." (Mat. 3:17) Ouvir isso sem dúvida deu muita coragem para Jesus cumprir sua designação aqui na Terra!	.
04.06.2020	Quinta		Gên. 2:17.	Quanto à árvore do conhecimento do que é bom e do que é mau, não coma dela.	w18.04 5-6 §§ 9-12.	Alguns leem a ordem que Jeová deu a Adão e pensam: "Jeová não deixou Adão fazer o que quisesse." Mas essas pessoas não entendem uma coisa: há uma grande diferença entre decidir o que fazer e decidir o que é bom ou mau. Adão e Eva eram livres para escolher se iam ou não ser obedientes a Jeová. Mas só Jeová tem o direito de decidir o que é bom e o que é mau. E a "árvore do conhecimento do que é bom e do que é mau" que existia no jardim do Éden era um lembrete disso. (Gên. 2:9) Quando proibiu Adão e Eva de comer o fruto da árvore, Jeová estava ensinando como eles podiam usar a liberdade que tinham. Como já sabemos, Adão e Eva escolheram desobedecer a Jeová. Será que a decisão de Adão e Eva deu mais liberdade para eles? Não. Em vez de ficarem livres, Adão e Eva perderam a verdadeira liberdade.	.
05.06.2020	Sexta		Isa. 63:9.	Durante toda a aflição deles, ele também ficou aflito.	Juí. 2:16, 18. w19.03 15 §§ 4-5.	Jeová faz mais do que se preocupar com o sofrimento dos seus servos. Ele age para ajudá-los. Por exemplo, quando os israelitas estavam sofrendo como escravos no Egito, Jeová sentiu a dor deles e agiu para libertá-los. Jeová disse o seguinte para Moisés: 'Certamente vi a aflição do meu povo, que está no Egito, e ouvi seu clamor. Sei muito bem quanto estão sofrendo. Vou descer a fim de livrá-los.' (Êxo. 3:7, 8) Jeová libertou seu povo porque se preocupava com os sentimentos dele. Centenas de anos mais tarde, os israelitas foram atacados por inimigos quando estavam na Terra Prometida. Como Jeová reagiu? Ele "lamentava os seus gemidos, causados pelos que os oprimiam e pelos que os tratavam de modo cruel". Por isso, Jeová enviou juízes para salvar os israelitas de seus inimigos. Mais uma vez, a empatia de Jeová o levou a ajudar seu povo.	.
06.06.2020	Sabado		Isa. 49:15.	Será que uma mulher pode se esquecer do seu bebê, e não sentir compaixão pelo filho do seu ventre? Mesmo que essas mulheres se esquecessem, eu nunca me esqueceria de você.	w19.02 22 §§ 13-15.	O primeiro dos Dez Mandamentos dizia que os israelitas deviam adorar apenas a Jeová, e o segundo proibia o povo de adorar ídolos. (Êxo. 20:3-6) Jeová não deu essas ordens pensando nele mesmo, mas sim no bem de seu povo. Mas quando adoravam os deuses de outras nações, todo mundo sofria. Por outro lado, quando os israelitas se tratavam de modo justo e eram leais a Jeová, ele os abençoava. (1 Reis 10:4-9) Às vezes, pessoas que dizem que servem a Deus não seguem as leis dele e fazem outros sofrer. Mas isso não é culpa de Jeová. Ele nos ama e sabe quando sofremos injustiças. Ele sente a nossa dor, muito mais do que uma mãe que vê seu bebê sofrer. É verdade que Jeová nem sempre resolve as injustiças imediatamente. Mas no tempo certo, quem faz o que é errado e não se arrepende vai prestar contas a Deus pelo modo como tratou outros.	.
07.06.2020	Domingo		Luc. 22:42.	Ocorra não a minha vontade, mas a tua.	w19.01 27-28 §§ 7-8.	Nas semanas antes da Celebração, nossas reuniões geralmente se concentram no exemplo de Jesus e destacam a humildade que ele mostrou ao dar a vida como resgate. Isso nos motiva a ser humildes também e a fazer o que Jeová pede de nós, mesmo quando for difícil. Pense em como ele agiu nos dias antes de morrer. Ele sabia muito bem que seus inimigos iam humilhá-lo, bater nele e matá-lo. (Mat. 20:17-19) Mesmo assim, encarou a morte com coragem. Quando chegou a hora de ser preso, Jesus disse aos apóstolos que estavam com ele em Getsêmani: "Levantem-se, vamos embora. Vejam! Aquele que me trai está chegando." (Mat. 26:36, 46) E quando a multidão armada chegou para prendê-lo, Jesus deu um passo à frente, se identificou e protegeu os apóstolos, dizendo aos soldados: "Deixem estes homens ir." (João 18:3-8) Que coragem impressionante! Hoje, os cristãos ungidos e os que são das outras ovelhas se esforçam em mostrar a mesma coragem.	.
08.06.2020	Segunda		Sof. 2:3.	Busquem a mansidão.	Jó 2:3-5. w19.02 8-9 §§ 3-5.	Para fazer uma pintura, o artista combina belas cores. Do mesmo modo, a pessoa que é mansa combina belas qualidades. Algumas dessas qualidades são a humildade, a obediência, a brandura e a coragem. Porque só pessoas humildes aceitam ser obedientes ao que Deus manda. Uma das coisas que Deus manda é que tenhamos brandura. (Mat. 5:5; Gál. 5:23) Quando obedecemos a Deus, deixamos Satanás furioso. Por isso, mesmo quando somos humildes e brandos, muitas pessoas do mundo de Satanás nos odeiam. (João 15:18, 19) Como resultado, precisamos de coragem para não ceder à pressão de Satanás. Por outro lado, a pessoa que não é mansa é orgulhosa, não sabe controlar a raiva e não quer obedecer a Jeová. Satanás é exatamente assim. Não é à toa que ele odeia as pessoas mansas! Elas deixam claro como Satanás é mau. E ainda por cima provam que ele é mentiroso. Por quê? Porque, não importa o que Satanás diga ou faça, ele não consegue desviar de Jeová as pessoas que são mansas.	.
09.06.2020	Terça		Isa. 41:10.	Não fique ansioso, pois eu sou o seu Deus.	Isa. 46:3, 4. w19.01 4 § 8.	Jeová sabia que quem estivesse morando em Babilônia ia sentir medo. Jeová iria usar os exércitos poderosos da Medo-Pérsia para atacar Babilônia e libertar os judeus. (Isa. 41:2-4) Quando os babilônios e as pessoas de outras nações vissem o inimigo chegando, eles tentariam animar um ao outro dizendo: "Seja forte." Eles também fariam mais ídolos de deuses falsos, na esperança de que eles pudessem dar alguma proteção. (Isa. 41:5-7) Enquanto isso, Jeová acalmou os judeus presos em Babilônia. Para mostrar a diferença entre Israel e as outras nações, Jeová disse: 'Você, ó Israel, é meu servo. Não fique ansioso, pois eu sou o seu Deus.' (Isa. 41:8-10) Note que Jeová disse: "Eu sou o seu Deus." Ele estava garantindo aos judeus fiéis que não tinha se esquecido deles. e eles ainda eram o seu povo. Jeová disse: 'Eu os carregarei e salvarei.' Com certeza, essas palavras encorajaram bastante os judeus presos em Babilônia.	.
10.06.2020	Quarta		Mar. 1:11.	E uma voz saiu dos céus: "Você é meu Filho, o amado; eu o aprovo."	Luc. 3:22. w19.03 8 §§ 3-4.	Marcos 1:9-11 conta sobre a primeira de três vezes em que o próprio Jeová falou lá do céu. Jeová disse: "Você é meu Filho, o amado; eu o aprovo." Imagine Jesus ouvindo a voz de seu Pai dizendo que o amava e que confiava nele. Sem dúvida, Jesus deve ter ficado muito emocionado! E essas palavras confirmaram três fatos importantes sobre Jesus. Primeiro, que Jesus é o Filho de Jeová. Segundo, que Jeová ama o seu Filho. E terceiro, que Jesus tem a aprovação de Jeová. Por dizer "você é meu Filho", Jeová mostrou que ele e Jesus teriam um novo tipo de relacionamento. Quando Jesus estava no céu, ele já era o Filho de Deus. Mas depois do batismo, Jesus se tornou Filho de Deus de um modo totalmente novo: ele foi ungido com espírito santo e recebeu a oportunidade de voltar para o céu e se tornar o Rei e Sumo Sacerdote escolhido por Deus. (Luc. 1:31-33; Heb. 1:8, 9; 2:17) Por isso, quando Jesus se batizou, seu Pai tinha bons motivos para dizer: "Você é meu Filho."	.
11.06.2020	Quinta		Pro. 21:30.	Não há sabedoria . . . que [possa] se opor a Jeová.	w18.12 20 §§ 3-4.	Conselhos ruins já existem desde o começo da humanidade. E isso por causa de Satanás. Esse anjo orgulhoso se achava um bom conselheiro. Lá no Éden, ele disse a Eva que ela e Adão seriam muito mais felizes se escolhessem sozinhos como viver. (Gên. 3:1-6) O conselho de Satanás era egoísta. O que ele realmente queria é que Adão, Eva e todos os humanos adorassem a ele em vez de adorar a Jeová. Mas foi Jeová que deu a Adão e Eva tudo o que eles tinham: a companhia um do outro, o lindo jardim onde viviam e um corpo perfeito para viver para sempre. Infelizmente, Adão e Eva desobedeceram a Deus. Eles preferiram cortar o contato com Jeová, a Fonte da vida. O resultado você já sabe. Adão e Eva envelheceram e morreram, assim como morre uma flor que é cortada da planta que a mantém viva. E nós, filhos de Adão e Eva, também herdamos o pecado. (Rom. 5:12) Hoje, a maioria das pessoas também prefere não obedecer a Deus. Elas querem viver como bem entendem. (Efé. 2:1-3) Mas o texto de hoje mostra claramente qual é o resultado.	.
12.06.2020	Sexta		1 Cor. 2:13.	[Nós] falamos, não com palavras ensinadas pela sabedoria humana, mas com as ensinadas pelo espírito, ao explicarmos assuntos espirituais com palavras espirituais.	w18.11 20-21 §§ 12-13.	O apóstolo Paulo era um homem muito inteligente e instruído. Ele falava pelo menos dois idiomas. (Atos 5:34; 21:37, 39; 22:2, 3) Mas ele não seguia o ponto de vista do mundo para saber o que era certo ou errado. Ele se baseava na Palavra de Deus. (Atos 17:2; 1 Cor. 2:6, 7, 13) Por causa disso, ele realizou um ótimo trabalho de pregação e tinha a esperança de ganhar uma recompensa eterna. (2 Tim. 4:8) Não temos dúvida de que o modo de Jeová pensar é muito melhor que o do mundo. Seguir os padrões de Jeová vai nos dar uma vida feliz e produtiva. Mas ele não obriga ninguém a pensar como ele. Nem o "escravo fiel e prudente" nem os anciãos mandam nos pensamentos dos irmãos. (Mat. 24:45; 2 Cor. 1:24) Na verdade, aprender a pensar como Deus é responsabilidade de cada um de nós.	.
13.06.2020	Sabado		Isa. 35:10.	O pesar e o gemido desaparecerão.	w18.12 5 §§ 11-12.	Por meio de Isaías, Deus prometeu que os israelitas voltariam para sua terra sem se preocuparem com nenhum perigo. Eles não precisariam ter medo de animais selvagens nem de pessoas que quisessem atacá-los. Tanto os jovens quanto os idosos se sentiriam seguros. (Isa. 11:6-9; 35:5-10; 51:3) A profecia de Isaías também diz que a Terra inteira - e não apenas a nação de Israel - ficaria "cheia do conhecimento de Jeová, assim como as águas cobrem o mar". Isaías repetiu que os israelitas que voltariam de Babilônia não seriam atacados por animais nem humanos. O país produziria bastante alimento porque teria muitas fontes de água, assim como era o jardim do Éden. (Gên. 2:10-14; Jer. 31:12) Mas será que essa profecia se cumpriu só naquela época? Bem, a profecia disse que cegos, surdos e mancos seriam curados. Mas nada indica que isso tenha acontecido com os israelitas que voltaram de Babilônia. Assim, Deus estava indicando que essas curas iriam acontecer no futuro.	.
14.06.2020	Domingo		3 João 3.	[Continuem] andando na verdade.	Pro. 8:10. w18.11 9 § 3; 11 §§ 13-14.	Andar na verdade não é algo que fazemos uma única vez. É um modo de vida, um caminho que queremos seguir para sempre. O que pode nos ajudar a continuar decididos a andar na verdade? Continue a estudar a Bíblia e medite no que lê. Programe um tempo para isso. Quanto mais você estudar, mais a verdade será preciosa para você. Isso, por sua vez, vai deixar você mais determinado a nunca 'vender' a verdade. Provérbios 23:23 nos diz que, além da verdade, devemos 'comprar a sabedoria, a disciplina e o entendimento'. Só que conhecer a verdade não basta. Temos que colocá-la em prática em nossa vida. O entendimento nos ajuda a ver que todas as verdades de Jeová se encaixam. A sabedoria nos motiva a agir. E a disciplina mostra onde devemos melhorar. Se notar que precisa fazer alguma mudança, não perca tempo. A disciplina vale muito mais que a prata.	.
15.06.2020	Segunda		Pro. 23:23.	Compre a verdade e nunca a venda.	w18.11 3 §§ 1-2.	Qual é a coisa mais valiosa que você tem? Você a trocaria por algo que valesse menos? Para os servos dedicados de Jeová, as respostas são simples. O bem mais valioso que temos é a nossa amizade com Jeová, e isso é algo que não trocamos por nada. A verdade da Bíblia também é muito preciosa. Foi por meio dela que conseguimos desenvolver a amizade com nosso Pai, Jeová. (Col. 1:9, 10) Pense em tudo o que nosso Grandioso Instrutor nos ensina por meio da Bíblia! Ele nos ensina o que o nome dele significa e como suas qualidades são maravilhosas. Jeová nos explica o que é o resgate e como ele foi pago com muito amor por meio de seu Filho, Jesus. Ele também nos ensina sobre o Reino Messiânico e nos dá uma esperança para o futuro. Jeová também diz como nós devemos viver. Essas verdades são valiosas, não acha? Elas aumentam nosso amor por Deus e fazem nossa vida ter sentido.	.
16.06.2020	Terça		Col. 3:9.	Não mintam uns aos outros.	w18.10 8 §§ 10-13.	As pessoas podem enganar humanos, mas não podem mentir para Jeová. Para ele, "todas as coisas estão nuas e abertamente expostas". (Heb. 4:13) Por exemplo, Ananias e Safira planejaram enganar os apóstolos. Eles venderam uma propriedade e levaram apenas parte do dinheiro da venda para os apóstolos. Mas, para que toda a congregação achasse que eles eram generosos, Ananias e Safira disseram que estavam dando todo o dinheiro da venda. Jeová viu que eles estavam mentindo e deu a punição que eles mereciam. (Atos 5:1-10) O que Jeová acha da mentira? Satanás e todos os que, assim como ele, mentem por maldade sem se arrepender, estão condenados ao "lago de fogo". (Apo. 20:10; 21:8; Sal. 5:6) Nós sabemos que Jeová "não é um homem para mentir". Na verdade, "é impossível que Deus minta". (Núm. 23:19; Heb. 6:18) Jeová odeia a "língua mentirosa". (Pro. 6:16, 17) Se queremos ser amigos de Deus, temos que encarar a mentira assim como ele.	.
17.06.2020	Quarta		1 Tim. 4:15.	Medite nessas coisas.	w18.11 24 § 5; 26 §§ 15-16	O que faria se seu patrão pedisse para você contribuir para uma festa ligada com a religião falsa? Em vez de esperar até que situações como essas aconteçam, é melhor aprender agora a pensar como Jeová. Daí, se uma situação assim acontecer, você vai saber dizer e fazer a coisa certa. Pensar com antecedência também é importante em caso de emergências médicas. Nós já decidimos rejeitar a transfusão de sangue total ou de seus quatro componentes principais. (Atos 15:28, 29) Mas há procedimentos médicos relacionados com o sangue que ficam a critério de cada cristão. Cada um deve se basear nos princípios da Bíblia para saber o que Jeová pensa e então tomar uma decisão. Mas não deixe para pensar nisso só quando você já estiver no hospital, sofrendo dores e sendo pressionado por outros. Agora é o momento de pesquisar, preencher o documento jurídico que explica claramente os tratamentos que você aceita e conversar com seu médico.	.
18.06.2020	Quinta		Pro. 1:33.	Quem me escuta residirá em segurança.	Isa. 26:20. w18.09 26 §§ 15-16.	Jeová é um pastor amoroso que abraça com carinho seu povo para protegê-lo de inimigos. É muito consolador saber disso, ainda mais estando tão perto do fim deste sistema de coisas! (Pro. 1:33) Jeová vai continuar cuidando do seu povo na grande tribulação, que está bem perto. (Apo. 7:9, 10) Não importa se são jovens ou idosos, saudáveis ou deficientes, os servos de Jeová não vão entrar em pânico durante a grande tribulação. Na verdade, farão o contrário. Eles vão se lembrar do que Jesus falou: "Ponham-se de pé e levantem a cabeça, porque o seu livramento está se aproximando." (Luc. 21:28) Mesmo quando sofrer o ataque de Gogue (uma coalizão de poderosas nações), o povo de Deus vai continuar confiando em Jeová. (Eze. 38:2, 14-16) Por quê? Porque sabemos que Jeová não muda. Ele novamente vai mostrar que é um Salvador poderoso e amoroso.	.
19.06.2020	Sexta		Isa. 43:4.	Você se tornou precioso aos meus olhos, . . . e eu o amo.	Jer. 31:3. w18.09 13 §§ 6-7.	Imagine como o povo de Israel se sentiu encorajado quando Jeová disse as palavras acima. Tenha certeza de que Jeová te ama também e tem muito carinho por você. Para os que adoram a Deus, a Bíblia promete: "Como um valente guerreiro, ele salvará. Por sua causa ele exultará com grande alegria." (Sof. 3:16, 17) Não importa o nosso problema, Jeová promete nos apoiar e consolar. Ele disse: 'Vocês serão carregados no colo, e serão embalados sobre os joelhos. Assim como a mãe consola o seu filho, assim continuarei a consolar vocês.' (Isa. 66:12, 13) Que cena bonita - uma mãe amorosa que carrega seu bebê no colo ou que o embala sobre os joelhos! Jeová usou essa ilustração para mostrar o quanto ama e tem carinho por seus servos. Não tenha dúvida: para Jeová, você é muito querido e precioso.	.
